day_partition,region,country,locations,overall_daily_active,overall_daily_access,overall_monthly_active,overall_monthly_access,stickiness_overall,adoption_daily_overall,adoption_monthly_overall,overall_revenue,core_daily_active,core_daily_access,core_monthly_active,core_monthly_access,stickiness_core,adoption_daily_core,adoption_monthly_core,core_monthly_revenue,premium_daily_active,premium_daily_access,premium_monthly_active,premium_monthly_access,stickiness_premium,adoption_daily_premium,adoption_monthly_premium,premium_activation_revenue,premium_monthly_revenue,custom_websites_daily_active,custom_websites_daily_access,custom_websites_monthly_active,custom_websites_monthly_access,stickiness_custom_websites,adoption_daily_custom_websites,adoption_monthly_custom_websites,custom_website_monthly_revenue,promos_daily_active,promos_daily_access,promos_monthly_active,promos_monthly_access,stickiness_promos,adoption_daily_promos,adoption_monthly_promos,promos_monthly_revenue,basic_insights_daily_active,basic_insights_daily_access,basic_insights_monthly_active,basic_insights_monthly_access,stickiness_basic_insights,adoption_daily_basic_insights,adoption_monthly_basic_insights,basic_insights_monthly_revenue,adv_insights_daily_active,adv_insights_daily_access,adv_insights_monthly_active,adv_insights_monthly_access,stickiness_adv_insights,adoption_daily_adv_insights,adoption_monthly_adv_insights,adv_insights_annual_revenue,super_insights_daily_active,super_insights_daily_access,super_insights_monthly_active,super_insights_monthly_access,stickiness_super_insights,adoption_daily_super_insights,adoption_monthly_super_insights,super_insights_revenue
2022-06-08,Region 2,Country 4,5798,1799,3545,2843,3748,0.63278227224762573,0.507475317348378,0.758537886872999,13360,1608,2392,2095,2622,0.7675417661097852,0.67224080267558528,0.79900839054157136,0,62,286,87,326,0.71264367816091956,0.21678321678321677,0.26687116564417179,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,505,2771,1518,3208,0.33267457180500659,0.18224467701190905,0.47319201995012466,0,125,186,1212,1268,0.10313531353135313,0.67204301075268813,0.95583596214511046,10,534,547,1790,1800,0.29832402234636873,0.97623400365630708,0.99444444444444446,13350
2022-06-09,Region 2,Country 4,5817,2080,3554,2866,3768,0.72575017445917656,0.58525604952166577,0.76061571125265393,20775,1613,2392,2108,2631,0.76518026565464892,0.67433110367892979,0.80121626757886732,0,65,286,88,326,0.73863636363636365,0.22727272727272727,0.26993865030674846,150,0,0,0,0,0,,,,0,0,0,0,0,,,,0,791,2952,1547,3232,0.5113122171945701,0.26795392953929537,0.47865099009900991,0,443,500,1208,1266,0.36672185430463577,0.886,0.95418641390205372,0,825,835,1814,1824,0.45479603087100329,0.9880239520958084,0.99451754385964908,20625
2022-06-10,Region 2,Country 4,5829,1835,3562,2894,3775,0.63407049067035248,0.51516002245929249,0.76662251655629143,13945,1619,2401,2107,2640,0.76839107736117707,0.67430237401082882,0.7981060606060606,0,68,289,87,324,0.7816091954022989,0.23529411764705882,0.26851851851851855,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,496,2785,1593,3265,0.31136220966729439,0.17809694793536804,0.4879019908116386,0,105,168,1240,1298,0.0846774193548387,0.625,0.95531587057010781,320,545,557,1822,1832,0.29912184412733261,0.97845601436265706,0.99454148471615722,13625
2022-06-11,Region 2,Country 4,5833,1658,3567,2892,3773,0.57330567081604422,0.46481637230165407,0.76649880731513387,8450,1578,2397,2107,2638,0.74893213099193168,0.65832290362953694,0.79871114480667171,0,60,281,87,324,0.68965517241379315,0.21352313167259787,0.26851851851851855,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,198,2649,1592,3264,0.12437185929648241,0.074745186862967161,0.48774509803921567,0,16,77,1240,1298,0.012903225806451613,0.20779220779220781,0.95531587057010781,0,338,352,1824,1834,0.18530701754385964,0.96022727272727271,0.99454743729552886,8450
2022-06-12,Region 2,Country 4,5833,1605,3565,2880,3769,0.55729166666666663,0.45021037868162694,0.764128416025471,9525,1424,2388,2095,2634,0.67971360381861579,0.59631490787269681,0.79536826119969628,0,41,265,87,322,0.47126436781609193,0.15471698113207547,0.27018633540372672,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,320,2674,1589,3260,0.20138451856513531,0.11967090501121914,0.4874233128834356,0,23,86,1236,1294,0.0186084142394822,0.26744186046511625,0.955177743431221,0,381,393,1818,1828,0.20957095709570958,0.96946564885496178,0.99452954048140041,9525
2022-06-13,Region 2,Country 4,5836,1682,3563,2874,3767,0.58524704244954762,0.47207409486387875,0.7629413326254314,12670,1463,2380,2088,2633,0.70067049808429116,0.61470588235294121,0.79301177364223319,0,53,276,87,322,0.60919540229885061,0.19202898550724637,0.27018633540372672,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,485,2776,1586,3255,0.30580075662042877,0.17471181556195967,0.4872503840245776,0,137,194,1238,1295,0.11066235864297254,0.70618556701030932,0.955984555984556,20,506,517,1873,1883,0.27015483182060868,0.97872340425531912,0.99468932554434408,12650
2022-06-14,Region 2,Country 4,5855,1819,3579,2884,3789,0.63072122052704582,0.50824252584520813,0.76115069939297963,12820,1569,2403,2090,2648,0.75071770334928234,0.65293383270911365,0.7892749244712991,0,68,290,87,323,0.7816091954022989,0.23448275862068965,0.26934984520123839,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,579,2780,1606,3279,0.36052303860523038,0.20827338129496403,0.48978347057029581,0,241,299,1245,1301,0.19357429718875502,0.80602006688963213,0.95695618754804,70,510,520,1887,1896,0.27027027027027029,0.98076923076923073,0.995253164556962,12750
2022-06-15,Region 2,Country 4,5865,1812,3582,2889,3797,0.62720664589823472,0.5058626465661642,0.76086383987358441,15670,1611,2411,2092,2658,0.7700764818355641,0.6681874740771464,0.78705793829947324,0,70,292,88,324,0.79545454545454541,0.23972602739726026,0.27160493827160492,150,0,0,0,0,0,,,,0,0,0,0,0,,,,0,528,2820,1614,3289,0.32713754646840149,0.18723404255319148,0.4907266646397081,0,189,243,1257,1313,0.15035799522673032,0.77777777777777779,0.95734958111195734,120,616,628,1932,1941,0.3188405797101449,0.98089171974522293,0.99536321483771251,15400
2022-06-16,Region 2,Country 4,5931,1892,3643,2957,3850,0.63983767331755159,0.519352182267362,0.7680519480519481,14740,1637,2416,2107,2656,0.77693402942572376,0.67756622516556286,0.79329819277108438,0,69,291,87,323,0.7931034482758621,0.23711340206185566,0.26934984520123839,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,572,2862,1675,3344,0.34149253731343282,0.19986023759608665,0.5008971291866029,0,219,277,1261,1318,0.17367168913560665,0.79061371841155237,0.956752655538695,40,588,598,1990,1999,0.29547738693467335,0.98327759197324416,0.9954977488744372,14700
2022-06-17,Region 2,Country 4,5996,1956,3716,3016,3909,0.64854111405835546,0.52637244348762113,0.77155282680992576,17080,1623,2427,2097,2655,0.77396280400572248,0.66872682323856614,0.78983050847457625,0,72,296,87,325,0.82758620689655171,0.24324324324324326,0.26769230769230767,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,687,2948,1753,3418,0.39189960068454077,0.2330393487109905,0.51287302516091282,0,135,195,1274,1330,0.10596546310832025,0.69230769230769229,0.95789473684210524,130,678,689,2062,2071,0.32880698351115423,0.98403483309143691,0.99565427329792366,16950
